,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-35,27,-45,20,-38,24,-45,18,-36,31,-24,36,-46,17,-38,24,-21,44,-46,17,-31,36,-46,22,-43,21,-42,23
1,-38,34,-51,24,-47,25,-51,19,-42,36,-27,45,-52,19,-47,28,-26,49,-56,20,-34,43,-48,25,-49,25,-48,28
2,-39,40,-59,26,-53,27,-61,21,-47,39,-30,51,-60,21,-56,30,-33,56,-66,22,-42,46,-53,26,-55,31,-53,33
3,-43,46,-69,31,-61,28,-68,24,-53,45,-34,54,-64,22,-61,31,-39,60,-71,27,-46,52,-68,27,-61,36,-59,36
4,-49,49,-72,32,-66,30,-77,25,-61,51,-37,61,-74,26,-68,36,-45,69,-76,30,-51,58,-76,30,-68,40,-61,38
5,-56,51,-75,35,-73,34,-88,27,-70,53,-39,64,-83,30,-73,39,-45,76,-88,33,-58,63,-77,37,-75,42,-68,44
6,-62,58,-81,39,-78,35,-93,29,-76,57,-46,73,-89,31,-81,41,-52,86,-94,34,-62,69,-85,41,-77,46,-74,47
7,-66,62,-89,41,-82,38,-99,31,-81,65,-51,73,-94,36,-91,42,-57,94,-104,37,-69,75,-95,42,-80,52,-81,49
8,-75,68,-101,44,-85,40,-104,32,-87,69,-56,78,-101,39,-98,45,-59,100,-108,40,-77,78,-102,46,-86,56,-90,52
9,-81,69,-110,45,-94,46,-116,34,-94,71,-57,81,-113,40,-101,46,-61,108,-116,43,-82,85,-107,50,-95,60,-96,55
10,-86,72,-115,46,-99,49,-129,40,-100,75,-65,87,-115,42,-109,47,-65,114,-121,47,-88,91,-113,55,-104,64,-102,56
11,-92,74,-123,47,-105,49,-142,40,-102,82,-72,90,-124,44,-117,51,-72,119,-128,49,-93,95,-118,56,-110,69,-111,62
12,-102,75,-134,47,-117,50,-150,41,-108,86,-79,94,-130,45,-121,57,-78,123,-136,54,-99,101,-123,59,-113,73,-116,65
13,-110,78,-144,50,-124,52,-158,42,-115,88,-85,96,-134,46,-128,59,-80,130,-147,57,-104,106,-132,63,-123,77,-122,66
14,-116,81,-153,51,-129,55,-170,43,-119,100,-89,104,-140,48,-133,63,-84,136,-152,61,-108,108,-141,64,-132,78,-131,67
15,-127,83,-159,53,-132,58,-177,44,-123,103,-94,110,-148,53,-138,63,-89,145,-161,67,-118,111,-146,66,-138,82,-140,68
