,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-68,4,-60,18,-72,7,-80,3,-68,2,-69,4,-65,5,-68,4,-66,11,-67,11,-71,14,-69,4,-66,6,-68,2,-69,5,-75,4,-76,3,-68,2,-68,3
1,-70,4,-61,22,-86,7,-90,3,-68,2,-73,5,-66,6,-70,4,-73,13,-79,15,-80,16,-72,5,-68,6,-68,2,-71,5,-80,4,-81,3,-69,2,-68,3
2,-76,5,-69,26,-93,7,-97,3,-69,2,-77,5,-70,7,-77,5,-78,16,-80,15,-89,22,-72,5,-70,6,-72,2,-72,5,-84,4,-84,3,-70,2,-73,3
3,-79,5,-77,27,-99,7,-104,3,-69,2,-88,5,-73,7,-84,6,-85,18,-82,16,-100,24,-72,6,-75,8,-72,2,-76,6,-89,5,-87,3,-71,2,-73,3
4,-83,5,-80,32,-104,7,-119,4,-69,2,-96,5,-77,7,-86,8,-89,21,-85,18,-108,26,-73,7,-80,9,-77,2,-81,7,-92,5,-88,3,-71,2,-73,4
5,-103,5,-83,35,-106,7,-120,4,-71,2,-98,5,-78,9,-87,8,-95,21,-90,18,-127,30,-74,7,-86,10,-77,2,-86,7,-98,5,-89,4,-73,2,-74,4
6,-111,5,-89,38,-113,7,-133,4,-72,3,-106,5,-80,11,-90,8,-97,24,-95,19,-129,31,-74,7,-96,10,-77,2,-89,7,-102,7,-91,4,-75,2,-77,5
7,-115,5,-95,38,-114,7,-138,4,-72,3,-110,5,-85,12,-95,8,-107,26,-99,21,-141,33,-74,7,-99,10,-77,2,-94,8,-106,7,-98,4,-77,3,-83,8
8,-122,5,-96,40,-128,7,-140,4,-76,3,-117,6,-88,13,-99,8,-109,26,-109,21,-152,35,-76,7,-101,11,-77,2,-96,8,-111,7,-103,4,-79,3,-86,10
9,-127,5,-100,42,-138,7,-146,4,-78,3,-121,8,-89,17,-100,8,-115,31,-118,24,-157,35,-77,7,-102,12,-80,3,-99,8,-112,7,-107,4,-81,4,-92,12
