,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-98,13,-98,11,-84,29,-112,2,-93,17,-113,3,-102,3,-104,4,-107,2,-106,4,-102,10,-105,2,-111,2,-90,19,-95,13,-88,22,-111,2,-102,3,-94,16,-105,2,-107,2,-106,2,-108,4,-109,3
1,-108,14,-108,12,-91,35,-123,2,-105,18,-127,3,-108,3,-117,5,-116,2,-111,4,-107,10,-111,2,-117,2,-98,22,-105,13,-99,23,-124,2,-107,3,-106,16,-121,2,-114,2,-116,2,-118,4,-119,3
2,-117,14,-115,14,-98,38,-140,2,-111,18,-133,4,-119,3,-124,5,-122,2,-122,4,-114,10,-125,2,-127,2,-110,22,-113,14,-108,30,-130,2,-122,3,-112,16,-131,2,-123,2,-128,2,-126,4,-132,3
3,-127,15,-128,15,-104,39,-148,2,-119,21,-144,4,-127,3,-136,5,-137,2,-131,5,-121,12,-134,2,-133,2,-120,22,-119,14,-118,34,-137,2,-135,3,-122,17,-139,2,-137,2,-136,2,-137,4,-139,3
4,-138,16,-143,18,-111,41,-158,2,-122,21,-155,6,-140,3,-145,5,-148,2,-139,5,-130,13,-147,2,-138,2,-128,24,-127,16,-124,35,-149,2,-150,3,-130,17,-145,2,-145,2,-148,2,-147,4,-147,3
5,-146,17,-151,19,-120,44,-174,2,-132,24,-165,6,-150,3,-148,5,-159,2,-153,5,-141,15,-158,2,-144,2,-142,24,-144,16,-130,35,-155,2,-158,3,-135,17,-158,2,-159,2,-154,2,-156,5,-151,3
6,-152,20,-161,22,-126,49,-185,2,-138,25,-175,7,-160,3,-157,5,-166,2,-163,5,-150,16,-168,2,-161,2,-153,26,-152,16,-145,37,-165,2,-167,3,-140,18,-168,2,-166,2,-161,2,-164,5,-161,3
7,-159,23,-173,22,-130,52,-190,2,-147,28,-184,7,-172,3,-176,5,-169,2,-167,5,-159,18,-182,2,-168,2,-161,28,-160,16,-155,40,-176,2,-180,3,-152,18,-177,2,-175,2,-168,2,-177,6,-170,3
8,-165,27,-181,24,-141,56,-202,2,-155,29,-191,7,-181,3,-186,5,-180,2,-177,5,-164,19,-187,2,-178,2,-169,28,-169,16,-163,43,-189,2,-191,3,-161,19,-186,2,-188,2,-178,2,-190,6,-179,3
9,-176,28,-190,24,-149,62,-212,2,-165,31,-196,7,-188,3,-202,5,-189,2,-186,5,-176,19,-194,3,-189,2,-176,30,-178,20,-175,44,-196,2,-201,3,-167,21,-201,2,-195,2,-185,2,-198,6,-188,3
