,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-93,8,-118,26,-92,28,-99,2,-115,30,-99,3,-99,2,-101,2,-99,2,-98,3,-97,6,-101,2,-100,3,-91,14,-97,6,-109,30,-98,2,-98,3,-115,23,-98,2,-102,2,-99,2,-112,8,-99,2
1,-95,8,-147,32,-113,45,-99,2,-142,39,-99,3,-100,2,-103,2,-100,2,-98,3,-98,6,-101,2,-103,3,-115,21,-100,8,-132,40,-99,2,-102,3,-135,28,-99,2,-109,2,-100,3,-123,8,-100,2
2,-104,16,-159,38,-152,61,-99,2,-157,56,-101,3,-101,2,-103,2,-102,2,-101,3,-99,6,-104,3,-105,4,-128,27,-104,8,-157,47,-100,2,-102,3,-148,34,-100,2,-113,2,-103,3,-138,9,-103,2
3,-127,22,-185,46,-170,75,-99,2,-175,65,-101,3,-103,2,-103,2,-103,2,-103,3,-100,6,-108,3,-105,6,-145,39,-113,12,-175,53,-101,2,-105,3,-157,43,-101,2,-114,2,-106,5,-144,9,-108,2
4,-134,25,-199,48,-204,100,-99,2,-201,76,-109,3,-104,2,-104,2,-103,3,-104,3,-100,6,-110,3,-110,7,-159,47,-117,18,-198,63,-101,2,-109,3,-165,49,-102,2,-119,2,-108,6,-146,9,-112,2
5,-150,28,-217,55,-216,109,-99,2,-222,84,-111,3,-104,2,-106,2,-104,3,-106,3,-103,6,-118,3,-112,9,-179,56,-130,22,-232,78,-103,2,-111,3,-173,53,-105,2,-121,2,-111,6,-149,9,-114,2
6,-168,33,-229,60,-237,124,-99,2,-244,95,-115,3,-104,2,-106,2,-108,3,-107,3,-107,9,-123,3,-112,9,-193,58,-141,27,-264,92,-105,2,-114,3,-178,58,-107,2,-122,2,-112,6,-160,9,-116,2
7,-193,38,-237,65,-263,147,-99,2,-263,103,-121,3,-104,2,-106,2,-109,3,-107,3,-110,9,-126,3,-112,9,-204,65,-145,34,-286,104,-106,2,-117,3,-184,63,-110,2,-130,2,-124,6,-166,9,-117,2
8,-214,41,-271,67,-276,161,-101,2,-278,109,-121,3,-105,2,-107,2,-110,3,-107,3,-112,10,-128,3,-118,9,-219,72,-174,38,-308,109,-107,2,-121,3,-192,68,-112,2,-134,2,-125,7,-171,10,-119,2
9,-224,47,-285,71,-297,179,-102,2,-302,115,-129,3,-106,2,-110,2,-113,3,-107,3,-125,15,-132,3,-125,9,-229,77,-192,39,-321,120,-108,2,-121,3,-199,72,-114,2,-139,2,-130,7,-177,11,-122,2
10,-234,50,-302,76,-339,199,-104,2,-331,121,-134,3,-106,2,-110,2,-116,3,-107,3,-131,16,-135,3,-129,9,-240,84,-199,41,-342,129,-108,2,-123,3,-205,77,-116,2,-139,2,-131,7,-180,11,-130,2
11,-244,52,-333,84,-362,210,-105,2,-345,128,-139,3,-107,2,-111,2,-119,3,-107,3,-139,19,-143,3,-130,9,-254,92,-206,43,-372,145,-109,2,-125,3,-211,79,-119,2,-140,2,-134,7,-182,11,-136,2
12,-257,56,-349,90,-374,223,-106,2,-357,134,-142,3,-108,2,-112,2,-122,3,-107,3,-150,21,-146,3,-132,9,-267,97,-220,45,-398,156,-110,2,-126,3,-226,81,-124,2,-142,2,-147,7,-199,12,-139,2
13,-290,64,-359,92,-406,248,-106,2,-371,134,-147,3,-108,2,-112,2,-123,3,-108,3,-161,24,-148,3,-135,9,-286,102,-227,45,-417,160,-112,2,-128,3,-235,84,-128,2,-142,2,-149,7,-208,12,-144,2
