,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-676,60,-590,146,-714,22,-728,8,-694,42,-716,20,-697,39,-616,120,-704,32,-718,18,-714,22,-657,79,-702,34,-730,6,-644,92,-699,37,-527,209,-725,11,-713,23,-683,53,-659,77,-670,66,-676,60
1,-714,62,-624,152,-753,23,-768,8,-731,45,-755,21,-735,41,-652,124,-736,40,-757,19,-753,23,-693,83,-741,35,-770,6,-665,111,-737,39,-550,226,-764,12,-752,24,-722,54,-695,81,-696,80,-705,71
2,-754,62,-662,154,-793,23,-807,9,-771,45,-795,21,-774,42,-689,127,-761,55,-797,19,-793,23,-731,85,-778,38,-807,9,-693,123,-777,39,-569,247,-802,14,-788,28,-760,56,-730,86,-718,98,-727,89
3,-787,69,-699,157,-832,24,-847,9,-810,46,-833,23,-813,43,-728,128,-791,65,-836,20,-833,23,-768,88,-815,41,-846,10,-726,130,-816,40,-589,267,-841,15,-826,30,-798,58,-764,92,-745,111,-747,109
4,-823,73,-737,159,-871,25,-886,10,-849,47,-873,23,-849,47,-763,133,-823,73,-875,21,-873,23,-803,93,-848,48,-885,11,-759,137,-853,43,-614,282,-881,15,-866,30,-833,63,-798,98,-778,118,-772,124
5,-861,75,-770,166,-911,25,-926,10,-889,47,-912,24,-887,49,-794,142,-861,75,-915,21,-912,24,-842,94,-885,51,-924,12,-792,144,-892,44,-644,292,-920,16,-903,33,-870,66,-831,105,-810,126,-804,132
6,-898,78,-802,174,-951,25,-966,10,-927,49,-950,26,-927,49,-829,147,-896,80,-955,21,-951,25,-880,96,-922,54,-964,12,-829,147,-931,45,-668,308,-960,16,-943,33,-907,69,-860,116,-849,127,-834,142
7,-935,81,-827,189,-990,26,-1005,11,-966,50,-989,27,-964,52,-860,156,-934,82,-995,21,-990,26,-917,99,-961,55,-1004,12,-864,152,-971,45,-691,325,-1000,16,-979,37,-944,72,-890,126,-888,128,-865,151
8,-970,86,-856,200,-1028,28,-1043,13,-1003,53,-1029,27,-1002,54,-887,169,-973,83,-1033,23,-1030,26,-955,101,-1001,55,-1043,13,-901,155,-1009,47,-715,341,-1040,16,-1017,39,-981,75,-928,128,-926,130,-902,154
9,-1006,90,-892,204,-1064,32,-1083,13,-1039,57,-1069,27,-1041,55,-918,178,-1013,83,-1073,23,-1068,28,-990,106,-1040,56,-1083,13,-938,158,-1048,48,-731,365,-1080,16,-1055,41,-1021,75,-962,134,-961,135,-936,160
